# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3]
2500 100
92 11.2629 7.79641 324.545
93 11.386 7.45577 335.105
94 11.5091 7.78777 346.375
95 11.6322 7.99588 358.195
96 11.7553 7.78956 369.955
97 11.8784 8.22254 382.63
98 12.0015 7.91493 395.085
99 12.1246 7.38145 406.94
100 12.2477 7.97216 420.005
4500 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0 0
14 1.66174 0.993966 0.03
15 1.78483 4.88267 0.2
16 1.90793 7.16386 0.485
17 2.03102 4.32564 0.68
18 2.15411 2.16928 0.79
19 2.2772 1.85292 0.895
20 2.40029 1.50895 0.99
21 2.52339 1.50908 1.095
22 2.64648 2.74398 1.305
23 2.76957 2.08794 1.48
24 2.89266 4.21091 1.865
25 3.01575 3.97485 2.26
26 3.13885 5.29487 2.83
27 3.26194 6.27908 3.56
28 3.38503 5.7509 4.28
29 3.50812 5.466 5.015
30 3.63121 6.1082 5.895
31 3.75431 6.33115 6.87
32 3.8774 8.00543 8.185
33 4.00049 7.12008 9.43
34 4.12358 6.78211 10.69
35 4.24667 6.69918 12.01
36 4.36977 6.51883 13.37
37 4.49286 5.59977 14.605
38 4.61595 6.0139 16.005
39 4.73904 6.78555 17.67
40 4.86213 6.34955 19.31
41 4.98523 7.6235 21.38
42 5.10832 7.87437 23.625
43 5.23141 7.89279 25.985
44 5.3545 7.88525 28.455
45 5.47759 7.04677 30.765
46 5.60069 6.68208 33.055
47 5.72378 6.73303 35.465
48 5.84687 8.47397 38.63
49 5.96996 8.03826 41.76
50 6.09305 8.51803 45.215
51 6.21615 7.16547 48.24
52 6.33924 6.53688 51.11
53 6.46233 6.59707 54.12
54 6.58542 7.40804 57.63
55 6.70851 7.4946 61.315
56 6.83161 7.83494 65.31
57 6.9547 8.20346 69.645
58 7.07779 8.85245 74.49
59 7.20088 8.32292 79.205
60 7.32397 7.78956 83.77
61 7.44707 8.19436 88.735
62 7.57016 7.7863 93.61
63 7.69325 8.12681 98.865
64 7.81634 8.19497 104.335
65 7.93943 8.34942 110.085
66 8.06253 7.94858 115.73
67 8.18562 7.36981 121.125
68 8.30871 7.48454 126.77
69 8.4318 7.51222 132.605
70 8.55489 7.49145 138.595
71 8.67799 8.3561 145.47
72 8.80108 8.88027 152.985
73 8.92417 8.91282 160.74
74 9.04726 9.11366 168.89
75 9.17035 7.99446 176.235
76 9.29345 8.19211 183.965
77 9.41654 7.99998 191.715
78 9.53963 7.50822 199.18
79 9.66272 7.52401 206.855
80 9.78581 7.96677 215.19
81 9.90891 8.12431 223.905
82 10.032 7.65332 232.32
83 10.1551 7.90826 241.23
84 10.2782 7.66799 250.08
85 10.4013 7.77523 259.27
86 10.5244 7.67706 268.56
87 10.6475 7.50058 277.85
88 10.7706 8.09154 288.105
89 10.8936 8.27994 298.84
90 11.0167 8.43155 310.02
91 11.1398 8.78469 321.93
92 11.2629 8.01288 333.035
93 11.386 7.95353 344.3
94 11.5091 7.81886 355.615
95 11.6322 7.94176 367.355
96 11.7553 7.93529 379.335
97 11.8784 8.05387 391.75
98 12.0015 8.02932 404.385
99 12.1246 7.92004 417.105
100 12.2477 7.71283 429.745
5000 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0 0
14 1.66174 1.15963 0.035
15 1.78483 3.5902 0.16
16 1.90793 4.65023 0.345
17 2.03102 4.76929 0.56
18 2.15411 3.54972 0.74
19 2.2772 3.52937 0.94
20 2.40029 2.77965 1.115
21 2.52339 2.0121 1.255
22 2.64648 2.48265 1.445
23 2.76957 2.56518 1.66
24 2.89266 4.10154 2.035
25 3.01575 4.57863 2.49
26 3.13885 3.99438 2.92
27 3.26194 6.4081 3.665
28 3.38503 5.39147 4.34
29 3.50812 6.17249 5.17
30 3.63121 5.37938 5.945
31 3.75431 5.6818 6.82
32 3.8774 5.6312 7.745
33 4.00049 5.71894 8.745
34 4.12358 5.86707 9.835
35 4.24667 5.55728 10.93
36 4.36977 5.96761 12.175
37 4.49286 6.68799 13.65
38 4.61595 6.46494 15.155
39 4.73904 6.58178 16.77
40 4.86213 6.698 18.5
41 4.98523 7.29205 20.48
42 5.10832 8.64602 22.945
43 5.23141 8.19379 25.395
44 5.3545 8.22046 27.97
45 5.47759 7.24506 30.345
46 5.60069 6.91551 32.715
47 5.72378 7.75277 35.49
48 5.84687 7.88494 38.435
49 5.96996 7.96121 41.535
50 6.09305 7.81539 44.705
51 6.21615 7.18916 47.74
52 6.33924 7.84653 51.185
53 6.46233 7.69293 54.695
54 6.58542 7.36583 58.185
55 6.70851 7.29122 61.77
56 6.83161 7.09949 65.39
57 6.9547 7.64521 69.43
58 7.07779 7.47297 73.52
59 7.20088 8.24349 78.19
60 7.32397 8.29294 83.05
61 7.44707 8.23562 88.04
62 7.57016 8.36928 93.28
63 7.69325 7.91803 98.4
64 7.81634 7.97774 103.725
65 7.93943 7.97188 109.215
66 8.06253 8.32876 115.13
67 8.18562 8.37385 121.26
68 8.30871 8.80378 127.9
69 8.4318 8.4778 134.485
70 8.55489 8.21058 141.05
71 8.67799 7.90031 147.55
72 8.80108 7.59816 153.98
73 8.92417 7.79226 160.76
74 9.04726 8.0066 167.92
75 9.17035 7.88018 175.16
76 9.29345 8.19741 182.895
77 9.41654 7.97934 190.625
78 9.53963 8.18712 198.765
79 9.66272 7.50441 206.42
80 9.78581 7.71347 214.49
81 9.90891 8.14762 223.23
82 10.032 8.12625 232.165
83 10.1551 8.05915 241.245
84 10.2782 7.78929 250.235
85 10.4013 8.40977 260.175
86 10.5244 8.29684 270.215
87 10.6475 8.72781 281.025
88 10.7706 8.05209 291.23
89 10.8936 7.20783 300.575
90 11.0167 7.80183 310.92
91 11.1398 7.96597 321.72
92 11.2629 7.46449 332.065
93 11.386 8.06297 343.485
94 11.5091 8.40968 355.655
95 11.6322 8.39161 368.06
96 11.7553 7.81606 379.86
97 11.8784 7.93386 392.09
98 12.0015 8.11511 404.86
99 12.1246 8.34966 418.27
100 12.2477 7.99047 431.365
5500 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0 0
14 1.66174 0.496983 0.015
15 1.78483 3.5902 0.14
16 1.90793 5.90704 0.375
17 2.03102 6.10026 0.65
18 2.15411 3.54972 0.83
19 2.2772 2.47056 0.97
20 2.40029 2.85907 1.15
21 2.52339 2.0121 1.29
22 2.64648 2.41731 1.475
23 2.76957 2.44587 1.68
24 2.89266 2.78904 1.935
25 3.01575 3.47171 2.28
26 3.13885 5.57355 2.88
27 3.26194 4.85984 3.445
28 3.38503 4.83235 4.05
29 3.50812 4.64796 4.675
30 3.63121 5.55291 5.475
31 3.75431 5.61686 6.34
32 3.8774 5.11373 7.18
33 4.00049 6.54818 8.325
34 4.12358 6.94359 9.615
35 4.24667 7.86646 11.165
36 4.36977 6.08744 12.435
37 4.49286 7.00539 13.98
38 4.61595 6.76564 15.555
39 4.73904 7.07082 17.29
40 4.86213 6.9303 19.08
41 4.98523 7.34729 21.075
42 5.10832 7.08518 23.095
43 5.23141 7.87607 25.45
44 5.3545 7.24677 27.72
45 5.47759 6.84848 29.965
46 5.60069 7.44074 32.515
47 5.72378 6.80288 34.95
48 5.84687 6.2785 37.295
49 5.96996 6.74135 39.92
50 6.09305 7.16205 42.825
51 6.21615 7.07072 45.81
52 6.33924 7.49349 49.1
53 6.46233 7.15596 52.365
54 6.58542 7.6402 55.985
55 6.70851 7.47427 59.66
56 6.83161 7.30542 63.385
57 6.9547 8.06154 67.645
58 7.07779 7.97543 72.01
59 7.20088 8.11992 76.61
60 7.32397 8.22469 81.43
61 7.44707 7.83127 86.175
62 7.57016 8.08178 91.235
63 7.69325 8.35105 96.635
64 7.81634 8.43468 102.265
65 7.93943 8.11709 107.855
66 8.06253 7.9345 113.49
67 8.18562 7.85476 119.24
68 8.30871 7.57072 124.95
69 8.4318 7.87271 131.065
70 8.55489 8.31689 137.715
71 8.67799 8.18594 144.45
72 8.80108 8.54349 151.68
73 8.92417 7.87845 158.535
74 9.04726 8.0681 165.75
75 9.17035 8.2448 173.325
76 9.29345 7.68871 180.58
77 9.41654 7.47869 187.825
78 9.53963 7.44787 195.23
79 9.66272 7.63675 203.02
80 9.78581 7.74693 211.125
81 9.90891 7.47642 219.145
82 10.032 7.6033 227.505
83 10.1551 8.0414 236.565
84 10.2782 7.97558 245.77
85 10.4013 7.41989 254.54
86 10.5244 7.82994 264.015
87 10.6475 7.7105 273.565
88 10.7706 7.95741 283.65
89 10.8936 7.71303 293.65
90 11.0167 7.82068 304.02
91 11.1398 8.46753 315.5
92 11.2629 8.09946 326.725
93 11.386 8.76547 339.14
94 11.5091 8.3164 351.175
95 11.6322 7.88426 362.83
96 11.7553 8.06445 375.005
97 11.8784 7.63869 386.78
98 12.0015 8.01025 399.385
99 12.1246 7.62117 411.625
100 12.2477 7.50841 423.93
6000 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0.386425 0.01
14 1.66174 0.662644 0.03
15 1.78483 1.72329 0.09
16 1.90793 2.765 0.2
17 2.03102 2.32919 0.305
18 2.15411 3.35252 0.475
19 2.2772 4.32348 0.72
20 2.40029 2.06488 0.85
21 2.52339 2.29955 1.01
22 2.64648 2.28665 1.185
23 2.76957 1.96863 1.35
24 2.89266 2.67967 1.595
25 3.01575 4.42768 2.035
26 3.13885 5.29487 2.605
27 3.26194 5.67698 3.265
28 3.38503 5.67102 3.975
29 3.50812 6.46996 4.845
30 3.63121 5.96938 5.705
31 3.75431 5.55193 6.56
32 3.8774 4.74847 7.34
33 4.00049 5.11845 8.235
34 4.12358 5.43646 9.245
35 4.24667 6.82606 10.59
36 4.36977 6.18331 11.88
37 4.49286 6.756 13.37
38 4.61595 7.45294 15.105
39 4.73904 7.21346 16.875
40 4.86213 6.52377 18.56
41 4.98523 6.57389 20.345
42 5.10832 6.64674 22.24
43 5.23141 8.09345 24.66
44 5.3545 7.40639 26.98
45 5.47759 6.98576 29.27
46 5.60069 6.30275 31.43
47 5.72378 7.9623 34.28
48 5.84687 6.39898 36.67
49 5.96996 8.10246 39.825
50 6.09305 7.80306 42.99
51 6.21615 7.88794 46.32
52 6.33924 7.43655 49.585
53 6.46233 7.25459 52.895
54 6.58542 7.77739 56.58
55 6.70851 8.03357 60.53
56 6.83161 7.47212 64.34
57 6.9547 7.51275 68.31
58 7.07779 7.63741 72.49
59 7.20088 8.44649 77.275
60 7.32397 8.34413 82.165
61 7.44707 8.74725 87.465
62 7.57016 8.03387 92.495
63 7.69325 7.83297 97.56
64 7.81634 7.89534 102.83
65 7.93943 7.59434 108.06
66 8.06253 8.34284 113.985
67 8.18562 8.70854 120.36
68 8.30871 9.08884 127.215
69 8.4318 8.18169 133.57
70 8.55489 7.91043 139.895
71 8.67799 7.55999 146.115
72 8.80108 8.01765 152.9
73 8.92417 7.5624 159.48
74 9.04726 7.93391 166.575
75 9.17035 7.85297 173.79
76 9.29345 7.87947 181.225
77 9.41654 8.19095 189.16
78 9.53963 8.01614 197.13
79 9.66272 7.37206 204.65
80 9.78581 7.13042 212.11
81 9.90891 7.29463 219.935
82 10.032 7.27134 227.93
83 10.1551 7.91714 236.85
84 10.2782 8.08821 246.185
85 10.4013 8.39708 256.11
86 10.5244 8.37948 266.25
87 10.6475 8.05768 276.23
88 10.7706 8.15861 286.57
89 10.8936 8.12568 297.105
90 11.0167 8.02431 307.745
91 11.1398 8.15774 318.805
92 11.2629 8.05256 329.965
93 11.386 8.14416 341.5
94 11.5091 8.03999 353.135
95 11.6322 7.86397 364.76
96 11.7553 7.81937 376.565
97 11.8784 7.94683 388.815
98 12.0015 7.82596 401.13
99 12.1246 7.68966 413.48
100 12.2477 7.71283 426.12
6500 100
1 0.061546 0 0
2 0.184638 0 0
3 0.30773 0 0
4 0.430822 0 0
5 0.553914 0 0
6 0.677006 0 0
7 0.800098 0 0
8 0.92319 0 0
9 1.04628 0 0
10 1.16937 0 0
11 1.29247 0 0
12 1.41556 0 0
13 1.53865 0.193212 0.005
14 1.66174 0.993966 0.035
15 1.78483 0.718039 0.06
16 1.90793 3.39341 0.195
17 2.03102 2.88376 0.325
18 2.15411 1.97207 0.425
19 2.2772 2.20586 0.55
20 2.40029 3.17674 0.75
21 2.52339 2.29955 0.91
22 2.64648 2.74398 1.12
23 2.76957 2.62484 1.34
24 2.89266 3.22654 1.635
25 3.01575 3.1195 1.945
26 3.13885 5.06264 2.49
27 3.26194 5.50495 3.13
28 3.38503 6.38989 3.93
29 3.50812 6.58151 4.815
30 3.63121 6.59408 5.765
31 3.75431 7.04543 6.85
32 3.8774 6.63568 7.94
33 4.00049 6.43381 9.065
34 4.12358 7.05125 10.375
35 4.24667 5.55728 11.47
36 4.36977 7.02213 12.935
37 4.49286 6.5973 14.39
38 4.61595 7.10929 16.045
39 4.73904 7.0912 17.785
40 4.86213 6.05917 19.35
41 4.98523 7.08949 21.275
42 5.10832 6.31352 23.075
43 5.23141 6.67208 25.07
44 5.3545 6.64021 27.15
45 5.47759 6.97051 29.435
46 5.60069 8.14105 32.225
47 5.72378 7.48736 34.905
48 5.84687 6.78721 37.44
49 5.96996 7.48611 40.355
50 6.09305 8.22218 43.69
51 6.21615 7.3905 46.81
52 6.33924 7.42516 50.07
53 6.46233 7.83539 53.645
54 6.58542 8.34724 57.6
55 6.70851 7.95221 61.51
56 6.83161 8.34484 65.765
57 6.9547 8.17508 70.085
58 7.07779 8.03938 74.485
59 7.20088 8.06697 79.055
60 7.32397 8.13937 83.825
61 7.44707 8.48318 88.965
62 7.57016 7.64255 93.75
63 7.69325 8.54436 99.275
64 7.81634 8.00021 104.615
65 7.93943 8.04448 110.155
66 8.06253 8.12459 115.925
67 8.18562 8.05966 121.825
68 8.30871 8.20714 128.015
69 8.4318 7.84052 134.105
70 8.55489 7.88541 140.41
71 8.67799 7.55999 146.63
72 8.80108 8.3367 153.685
73 8.92417 8.18876 160.81
74 9.04726 8.10724 168.06
75 9.17035 8.05432 175.46
76 9.29345 8.06493 183.07
77 9.41654 8.12902 190.945
78 9.53963 8.04631 198.945
79 9.66272 8.0681 207.175
80 9.78581 8.07191 215.62
81 9.90891 7.79803 223.985
82 10.032 8.01711 232.8
83 10.1551 7.75737 241.54
84 10.2782 7.79362 250.535
85 10.4013 8.30402 260.35
86 10.5244 8.68937 270.865
87 10.6475 8.9902 282
88 10.7706 8.19017 292.38
89 10.8936 8.58846 303.515
90 11.0167 8.51451 314.805
91 11.1398 8.08767 325.77
