# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3] c_rdf_calc[4] c_rdf_calc[5]
2500 100
29 3.50812 4.83729 7.7 1.07495 2.9
30 3.63121 1.00332 7.9 0.501659 3
31 3.75431 5.63167 9.1 1.40792 3.3
32 3.8774 4.39984 10.1 3.51987 4.1
33 4.00049 3.30661 10.9 7.02655 5.8
34 4.12358 2.72314 11.6 7.39139 7.7
35 4.24667 6.23555 13.3 7.33594 9.7
36 4.36977 5.19637 14.8 7.27492 11.8
37 4.49286 4.91556 16.3 5.89867 13.6
38 4.61595 6.83012 18.5 5.58828 15.4
39 4.73904 3.53451 19.7 4.1236 16.8
40 4.86213 3.35783 20.9 4.19728 18.3
41 4.98523 4.25875 22.5 4.52492 20
42 5.10832 3.29549 23.8 7.85848 23.1
43 5.23141 5.07593 25.9 9.91015 27.2
44 5.3545 4.38379 27.8 8.07541 30.7
45 5.47759 7.71656 31.3 9.25988 34.9
46 5.60069 5.90489 34.1 5.90489 37.7
47 5.72378 4.84599 36.5 6.05749 40.7
48 5.84687 6.19214 39.7 6.19214 43.9
49 5.96996 4.26897 42 7.23869 47.8
50 6.09305 7.30555 46.1 8.90921 52.8
51 6.21615 8.04628 50.8 5.13592 55.8
52 6.33924 8.88914 56.2 5.59687 59.2
53 6.46233 9.18735 62 6.96972 63.6
54 6.58542 6.86415 66.5 6.254 67.7
55 6.70851 9.11341 72.7 3.82175 70.3
56 6.83161 8.36274 78.6 6.66184 75
57 6.9547 7.3855 84 6.97519 80.1
58 7.07779 7.39496 89.6 5.94238 84.6
59 7.20088 6.88915 95 4.9755 88.5
60 7.32397 7.15283 100.8 5.67294 93.1
61 7.44707 5.48696 105.4 7.63402 99.5
62 7.57016 4.27106 109.1 4.0402 103
63 7.69325 4.91788 113.5 6.48266 108.8
64 7.81634 4.11454 117.3 5.19731 113.6
65 7.93943 5.14236 122.2 7.66106 120.9
66 8.06253 4.88477 127 6.71656 127.5
67 8.18562 4.04787 131.1 5.43007 133
68 8.30871 4.69542 136 7.47435 140.8
69 8.4318 6.88553 143.4 8.74648 150.2
70 8.55489 5.0618 149 8.13504 159.2
71 8.67799 5.44629 155.2 6.85178 167
72 8.80108 5.97824 162.2 5.89283 173.9
73 8.92417 8.30637 172.2 5.39914 180.4
74 9.04726 6.70797 180.5 6.30387 188.2
75 9.17035 8.73169 191.6 4.87716 194.4
76 9.29345 9.34445 203.8 6.2807 202.6
77 9.41654 8.13189 214.7 7.31124 212.4
78 9.53963 7.63263 225.2 6.32418 221.1
79 9.66272 8.14792 236.7 5.45557 228.8
80 9.78581 7.25343 247.2 6.14815 237.7
81 9.90891 5.92897 256 8.69134 250.6
82 10.032 6.63888 266.1 8.28217 263.2
83 10.1551 6.09403 275.6 5.645 272
84 10.2782 5.57322 284.5 6.32466 282.1
85 10.4013 5.44209 293.4 6.48159 292.7
86 10.5244 8.06289 306.9 7.76427 305.7
87 10.6475 6.65215 318.3 7.06062 317.8
88 10.7706 6.32989 329.4 7.29934 330.6
89 10.8936 6.68936 341.4 7.46978 344
90 11.0167 8.55743 357.1 8.06688 358.8
91 11.1398 7.9962 372.1 8.15613 374.1
92 11.2629 6.83155 385.2 7.56163 388.6
93 11.386 7.45005 399.8 7.96033 404.2
94 11.5091 5.89317 411.6 6.89201 418
95 11.6322 5.96467 423.8 6.99137 432.3
96 11.7553 5.5053 435.3 6.8936 446.7
97 11.8784 4.92295 445.8 6.0013 459.5
98 12.0015 5.69512 458.2 5.97069 472.5
99 12.1246 8.95511 478.1 6.16508 486.2
100 12.2477 6.21818 492.2 6.65919 501.3
4500 100
1 0.061546 0 0 0 0
2 0.184638 0 0 0 0
3 0.30773 0 0 0 0
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 0 0 0 0
16 1.90793 0 0 0 0
17 2.03102 0 0 0 0
18 2.15411 0 0 0 0
19 2.2772 0 0 0 0
20 2.40029 0 0 0 0
21 2.52339 7.27107 0.7 0 0
22 2.64648 16.9985 2.5 0 0
23 2.76957 6.03609 3.2 0 0
24 2.89266 9.48581 4.4 2.37145 0.3
25 3.01575 8.00008 5.5 2.90912 0.7
26 3.13885 6.04228 6.4 2.68546 1.1
27 3.26194 5.59491 7.3 6.21657 2.1
28 3.38503 3.46364 7.9 4.04091 2.8
29 3.50812 3.22486 8.5 3.76234 3.5
30 3.63121 6.01991 9.7 2.50829 4
31 3.75431 6.10097 11 4.22375 4.9
32 3.8774 7.03974 12.6 3.95985 5.8
33 4.00049 5.78657 14 9.91984 8.2
34 4.12358 7.78041 16 7.39139 10.1
35 4.24667 4.03477 17.1 8.43633 12.4
36 4.36977 6.23564 18.9 7.62134 14.6
37 4.49286 5.57096 20.6 8.848 17.3
38 4.61595 3.72552 21.8 4.6569 18.8
39 4.73904 2.94543 22.8 5.59631 20.7
40 4.86213 4.19728 24.3 4.4771 22.3
41 4.98523 1.59703 24.9 6.38812 24.7
42 5.10832 0.760498 25.2 6.84448 27.4
43 5.23141 1.93369 26 9.66844 31.4
44 5.3545 3.23016 27.4 7.38323 34.6
45 5.47759 5.07088 29.7 5.95278 37.3
46 5.60069 6.32667 32.7 8.22467 41.2
47 5.72378 4.03833 34.7 9.8939 46.1
48 5.84687 5.03112 37.3 6.38565 49.4
49 5.96996 7.05308 41.1 5.93944 52.6
50 6.09305 6.94918 45 8.55284 57.4
51 6.21615 10.2718 51 7.0191 61.5
52 6.33924 10.2061 57.2 5.76148 65
53 6.46233 7.28652 61.8 4.27687 67.7
54 6.58542 10.6776 68.8 3.81341 70.2
55 6.70851 8.37845 74.5 4.26272 73.1
56 6.83161 8.36274 80.4 4.67746 76.4
57 6.9547 6.29135 85 4.23982 79.5
58 7.07779 5.81032 89.4 5.67827 83.8
59 7.20088 4.46519 92.9 8.03734 90.1
60 7.32397 8.38608 99.7 6.65953 95.5
61 7.44707 7.51474 106 7.1569 101.5
62 7.57016 8.19583 113.1 4.96367 105.8
63 7.69325 6.25912 118.7 5.92381 111.1
64 7.81634 5.63042 123.9 5.7387 116.4
65 7.93943 4.40773 128.1 6.40171 122.5
66 8.06253 4.78301 132.8 5.08831 127.5
67 8.18562 3.4555 136.3 6.911 134.5
68 8.30871 3.92882 140.4 6.1328 140.9
69 8.4318 4.93152 145.7 7.90905 149.4
70 8.55489 4.70024 150.9 6.59842 156.7
71 8.67799 5.62197 157.3 8.69649 166.6
72 8.80108 4.69719 162.8 7.34469 175.2
73 8.92417 4.65157 168.4 8.22331 185.1
74 9.04726 4.76831 174.3 6.8696 193.6
75 9.17035 6.45044 182.5 6.45044 201.8
76 9.29345 6.51048 191 5.82113 209.4
77 9.41654 6.41599 199.6 5.81915 217.2
78 9.53963 7.05109 209.3 5.66995 225
79 9.66272 7.156 219.4 4.6762 231.6
80 9.78581 9.74032 233.5 4.97378 238.8
81 9.90891 8.75871 246.5 4.58148 245.6
82 10.032 8.5451 259.5 5.98157 254.7
83 10.1551 8.91653 273.4 6.79965 265.3
84 10.2782 9.2052 288.1 5.76108 274.5
